feature,importance_mean,importance_std
T865_lag_7,0.0022497025816687,0.0011192335386350316
water_temperature_roll_max_7,0.0022444081076672616,0.0017540270299327603
Oa02_reflectance_roll_min_14,0.0021344128173931944,0.0005186703922650209
precipitation_lag_14,0.0021272411518985733,0.001317706704408366
wind_speed_2m_roll_std_7,0.0020494686507059436,0.007129031933605007
Oa01_reflectance_roll_std_14,0.0019874368387135634,0.00211900048995526
KD490_M07_roll_mean_14,0.0019841773419141616,0.0009319384454341255
Oa05_reflectance_lag_14,0.0019606842185519112,0.000565972461197478
wind_avg_roll_mean_7,0.0019436440161304525,0.0016587474087598221
CI_index_roll_mean_28,0.0019382478073711519,0.001965639686254166
Watt_per_m2_lag_1,0.001931095078268541,0.0014601316713190669
Oa01_reflectance_roll_max_7,0.0019177570882328077,0.0005674487326035104
PAR_lag_14,0.001914444976113483,0.0010106704199955958
KD490_M07_roll_min_14,0.0018949865641239682,0.0007351938105750509
precipitation_roll_mean_14,0.0018925101373482357,0.0014887252239480086
Oa21_reflectance_roll_min_7,0.0018875781655655287,0.0017285854060405952
Oa06_reflectance_lag_14,0.00187381877871573,0.0012621683580884666
ADG443_NN_roll_std_14,0.0018366292465525013,0.0014745885224960226
Oa17_reflectance,0.0017890078770548712,0.0009163977446851065
CHL_NN_R2_roll_std_7,0.0017576833311391481,0.0007795289321038991
Oa04_reflectance_lag_14,0.0016944401910619967,0.002593638593545591
temp_min_roll_std_28,0.0016804475281523956,0.0015444847709112411
coverage_percent_lag_1,0.0016789091083819763,0.0049010527482291205
CHL_NN_R2_lag_28,0.0016784357539743056,0.0008800311584199651
Oa11_reflectance_roll_mean_14,0.0016433849196312521,0.0007247447509958767
air_temperature_roll_std_14,0.0015774489083372422,0.0013699587579485255
Oa02_reflectance_roll_std_7,0.0015379347977444446,0.0011840008124940138
valid_pixels_roll_std_7,0.0015130984856035034,0.0021467370752373256
air_temperature_lag_1,0.0014965907768278441,0.0009498093943309899
Oa03_reflectance,0.001485937939895443,0.00048711304102062045
temp_max_roll_min_28,0.0014851489832855337,0.001220090105557775
total_pixels_roll_min_14,0.0014600707272892422,0.00034205165455849265
PAR_roll_std_28,0.001441193494261661,0.00044518281489654485
Oa07_reflectance_roll_mean_7,0.0013723672226677586,0.0008056491532323672
TSM_NN_roll_std_28,0.0013292341868214486,0.003239177988265121
water_level_lag_14,0.001327557969296489,0.0033360000408254233
precipitation_roll_min_7,0.001288589101227533,0.0005687538515683284
temp_max_roll_min_7,0.0012801054740355865,0.0028318767052603
Oa08_reflectance_lag_28,0.0012432606961199077,0.0005264894093497464
precipitation_roll_mean_7,0.0012242707011305143,0.0008650117263182529
CHLL_NN_TOTAL_lag_28,0.0012220887905419532,0.0004547874136564276
wind_speed_2m_roll_mean_28,0.0012190584687806981,0.0012968038748022118
Oa17_reflectance_roll_min_14,0.0011828182038696512,0.0018327418626836892
Oa09_reflectance_roll_min_14,0.0011681544444504866,0.0003893848148168288
valid_pixels_roll_mean_14,0.001158886186390351,0.0012149649943870597
Oa01_reflectance_roll_min_7,0.0011572973899817817,0.001509916638007098
wind_speed_2m_roll_mean_14,0.0011407907382447568,0.001324845694697397
TSM_NN_roll_min_7,0.0011292733335946715,0.0022155267050116786
